Date,Sleep_Hours,Phone_Screen_Time_Hours,Study_Hours,Classes_Attended,Mood_Score_1_to_10,Productivity_Score_1_to_10
2026-03-30,10.33,6.70,0,7,8,6
2026-03-31,6.33,5.20,3,2,8,7
2026-04-01,5.50,6.13,0,5,6,4
2026-04-02,7.50,8.53,3,4,7,6
2026-04-03,5.50,6.65,0,5,3,4
2026-04-04,9.00,9.22,7,0,6,8
2026-04-05,6.17,4.95,1,0,7,3
2026-04-06,6.00,8.93,6,4,5,8
2026-04-07,7.33,8.73,8,0,5,9
2026-04-08,9.00,7.47,8,3,6,9
2026-04-09,7.33,6.82,0,2,9,4
2026-04-10,5.00,7.05,0,4,5,1
2026-04-11,6.17,4.18,6,0,6,6
2026-04-12,3.67,5.05,4,0,1,2
2026-04-13,7.67,6.07,7,3,3,5
2026-04-14,6.17,8.25,1,2,5,4
2026-04-15,5.67,6.53,6,3,6,7
2026-04-16,7.17,5.23,0,0,7,5
2026-04-17,3.00,7.58,6,5,3,5
2026-04-18,4.67,6.85,9,0,4,7
2026-04-19,9.67,3.47,0,0,9,6
2026-04-20,3.67,4.63,0,5,3,2
2026-04-21,7.67,5.08,2,0,7,6
2026-04-22,6.50,5.87,1,3,6,5
2026-04-23,7.33,8.93,0,2,5,3
2026-04-24,5.00,7.40,0,3,4,2
2026-04-25,5.50,8.48,5,0,5,6
2026-04-26,0.50,5.68,10,0,2,6
2026-04-27,2.17,4.83,2,0,2,2
2026-04-28,7.00,6.68,7,2,7,8
2026-04-29,9.33,6.77,0,2,8,5
2026-04-30,6.83,12.25,0,2,4,2
2026-05-01,6.33,7.63,4,4,6,6
2026-05-02,2.00,7.37,8,0,3,5
2026-05-03,9.50,7.32,1,0,8,6
2026-05-04,5.33,9.40,5,3,4,5
2026-05-05,6.17,8.33,3,0,5,5
